team,team_gender,country,discipline
France,M,France,Fencing
Italy,M,Italy,Fencing
Japan,M,Japan,Fencing
Poland,M,Poland,Fencing
United States of America,M,United States,Fencing
Canada,M,Canada,Fencing
Egypt,M,Egypt,Fencing
France,M,France,Fencing
Hungary,M,Hungary,Fencing
Islamic Republic of Iran,M,IR Iran,Fencing
Italy,M,Italy,Fencing
Republic of Korea,M,Korea,Fencing
United States of America,M,United States,Fencing
People's Republic of China,W,China,Fencing
Egypt,W,Egypt,Fencing
France,W,France,Fencing
Italy,W,Italy,Fencing
Republic of Korea,W,Korea,Fencing
Poland,W,Poland,Fencing
Ukraine,W,Ukraine,Fencing
United States of America,W,United States,Fencing
Canada,W,Canada,Fencing
People's Republic of China,W,China,Fencing
Egypt,W,Egypt,Fencing
France,W,France,Fencing
Italy,W,Italy,Fencing
Japan,W,Japan,Fencing
Poland,W,Poland,Fencing
United States of America,W,United States,Fencing
Algeria,W,Algeria,Fencing
France,W,France,Fencing
Hungary,W,Hungary,Fencing
Italy,W,Italy,Fencing
Japan,W,Japan,Fencing
Republic of Korea,W,Korea,Fencing
Ukraine,W,Ukraine,Fencing
United States of America,W,United States,Fencing
Canada,M,Canada,Artistic Gymnastics
People's Republic of China,M,China,Artistic Gymnastics
Spain,M,Spain,Artistic Gymnastics
Great Britain,M,Great Britain,Artistic Gymnastics
Germany,M,Germany,Artistic Gymnastics
Italy,M,Italy,Artistic Gymnastics
Japan,M,Japan,Artistic Gymnastics
Netherlands,M,Netherlands,Artistic Gymnastics
Switzerland,M,Switzerland,Artistic Gymnastics
Türkiye,M,Türkiye,Artistic Gymnastics
Ukraine,M,Ukraine,Artistic Gymnastics
United States of America,M,United States,Artistic Gymnastics
Australia,W,Australia,Artistic Gymnastics
Brazil,W,Brazil,Artistic Gymnastics
Canada,W,Canada,Artistic Gymnastics
People's Republic of China,W,China,Artistic Gymnastics
France,W,France,Artistic Gymnastics
Great Britain,W,Great Britain,Artistic Gymnastics
Italy,W,Italy,Artistic Gymnastics
Japan,W,Japan,Artistic Gymnastics
Republic of Korea,W,Korea,Artistic Gymnastics
Netherlands,W,Netherlands,Artistic Gymnastics
Romania,W,Romania,Artistic Gymnastics
United States of America,W,United States,Artistic Gymnastics
Australia,W,Australia,Rhythmic Gymnastics
Azerbaijan,W,Azerbaijan,Rhythmic Gymnastics
Brazil,W,Brazil,Rhythmic Gymnastics
Bulgaria,W,Bulgaria,Rhythmic Gymnastics
People's Republic of China,W,China,Rhythmic Gymnastics
Egypt,W,Egypt,Rhythmic Gymnastics
Spain,W,Spain,Rhythmic Gymnastics
France,W,France,Rhythmic Gymnastics
Germany,W,Germany,Rhythmic Gymnastics
Israel,W,Israel,Rhythmic Gymnastics
Italy,W,Italy,Rhythmic Gymnastics
Mexico,W,Mexico,Rhythmic Gymnastics
Ukraine,W,Ukraine,Rhythmic Gymnastics
Uzbekistan,W,Uzbekistan,Rhythmic Gymnastics
Argentina,M,Argentina,Handball
Croatia,M,Croatia,Handball
Denmark,M,Denmark,Handball
Egypt,M,Egypt,Handball
Spain,M,Spain,Handball
France,M,France,Handball
Germany,M,Germany,Handball
Hungary,M,Hungary,Handball
Japan,M,Japan,Handball
Norway,M,Norway,Handball
Slovenia,M,Slovenia,Handball
Sweden,M,Sweden,Handball
Angola,W,Angola,Handball
Brazil,W,Brazil,Handball
Denmark,W,Denmark,Handball
Spain,W,Spain,Handball
France,W,France,Handball
Germany,W,Germany,Handball
Hungary,W,Hungary,Handball
Republic of Korea,W,Korea,Handball
Netherlands,W,Netherlands,Handball
Norway,W,Norway,Handball
Slovenia,W,Slovenia,Handball
Sweden,W,Sweden,Handball
Argentina,M,Argentina,Hockey
Australia,M,Australia,Hockey
Belgium,M,Belgium,Hockey
Spain,M,Spain,Hockey
France,M,France,Hockey
Great Britain,M,Great Britain,Hockey
Germany,M,Germany,Hockey
India,M,India,Hockey
Ireland,M,Ireland,Hockey
Netherlands,M,Netherlands,Hockey
New Zealand,M,New Zealand,Hockey
South Africa,M,South Africa,Hockey
Argentina,W,Argentina,Hockey
Australia,W,Australia,Hockey
Belgium,W,Belgium,Hockey
People's Republic of China,W,China,Hockey
Spain,W,Spain,Hockey
France,W,France,Hockey
Great Britain,W,Great Britain,Hockey
Germany,W,Germany,Hockey
Japan,W,Japan,Hockey
Netherlands,W,Netherlands,Hockey
South Africa,W,South Africa,Hockey
United States of America,W,United States,Hockey
Austria,X,Austria,Judo
Brazil,X,Brazil,Judo
Canada,X,Canada,Judo
Refugee Olympic Team,X,EOR,Judo
